reid,ruid,clid,total_cost,payment,guests
828,1881,342,1999.8,pear pay,1
829,3813,382,4514.25,debit card,1
830,491,75,1610.8,credit card,6
831,1201,32,1603.68,cash,2
832,2134,222,1258.74,cash,4
833,3722,242,1705.62,credit card,1
834,3848,11,1774.85,check,1
835,4155,317,877.86,cash,2
836,3759,40,1281.54,check,2
837,4785,308,1673.95,pear pay,4
838,1311,132,1627.78,credit card,3
839,3811,15,794.82,debit card,1
840,1558,204,465.12,credit card,1
841,4855,36,2864.73,cash,3
842,786,240,2098.46,cash,1
843,4165,352,284.36,check,1
844,1708,227,562.35,check,3
845,3561,110,2032.68,cash,3
846,1989,211,2501.1,pear pay,1
847,2015,354,820.04,pear pay,4
848,318,130,1707.86,cash,1
849,2489,389,1791.1,credit card,4
850,381,311,1988.42,pear pay,1
851,2627,270,497.92,credit card,1
852,330,215,583.32,credit card,2
853,3479,235,973.72,credit card,2
854,3634,285,4626.7,credit card,2
855,2904,393,1043.94,check,6
856,3792,199,2500.68,credit card,3
857,176,189,1485.72,debit card,5
858,523,227,3530.7,cash,5
859,1294,383,2334.78,credit card,2
860,220,398,3606.96,cash,5
861,2514,200,1609.3,credit card,1
862,1372,28,371.55,check,1
863,4602,142,1999.9,credit card,2
864,3556,396,3846.24,check,1
865,993,47,5495.28,credit card,2
866,3946,26,1094.16,check,1
867,3977,135,1543.19,credit card,1
868,179,160,1156.14,credit card,3
869,1857,369,1814.47,credit card,2
870,221,29,2083.23,check,4
871,965,209,1715.31,credit card,1
872,3349,240,477.85,check,1
873,4824,274,4170.6,pear pay,5
874,4721,9,2483.58,cash,5
875,3066,213,1900.58,check,1
876,762,187,302.4,check,1
877,4903,289,1414.32,debit card,2
878,3718,126,1690.78,check,1
879,4031,75,1212.12,credit card,2
880,1069,33,1842.54,check,3
881,1325,11,593.95,pear pay,2
882,3486,77,1931.44,check,2
883,2481,24,3617.16,pear pay,1
884,2315,75,243.66,credit card,1
885,2898,210,2164.96,credit card,1
886,1160,101,6227.2,cash,1
887,1505,192,1512.84,cash,1
888,3186,150,4809.53,cash,1
889,2496,257,1363.59,credit card,4
890,2503,56,437,credit card,2
891,4447,326,2205.48,check,3
892,4715,111,405.6,cash,2
893,2887,79,831.81,credit card,6
894,2720,321,2858.57,cash,3
895,73,32,2407.68,debit card,2
896,3562,159,466.08,credit card,2
897,1858,148,1311.36,check,1
898,2705,7,1008.81,check,3
899,157,299,1549.88,credit card,2
900,2036,115,515.3,debit card,1
901,2310,75,442.12,credit card,1
902,4047,55,687.36,cash,1
903,143,205,4367.72,credit card,3
904,4724,164,603.06,cash,1
905,1398,224,1382.22,debit card,2
906,987,226,4144.6,pear pay,3
907,229,211,921.63,credit card,2
908,3897,32,756.72,cash,1
909,4511,371,3680.82,cash,1
910,3047,314,381.21,check,2
911,784,167,847.44,check,2
912,93,305,672.54,check,2
913,2870,18,2663.21,credit card,2
914,3511,320,1398.6,credit card,1
915,3465,62,2609.16,credit card,1
916,4689,8,3410.32,credit card,3
917,672,23,1034.6,check,4
918,2142,221,850.32,credit card,1
919,2841,263,2296.74,credit card,1
920,3074,212,1081.08,credit card,2
921,2246,175,1093.08,credit card,2
922,4411,111,2170.56,cash,2
923,3467,282,1410.84,check,1
924,1791,34,404.97,debit card,3
925,402,188,796.2,cash,8
926,3470,344,687.2,check,2
927,3001,167,1196.2,credit card,1
928,2859,19,1220.16,credit card,2
929,4504,70,2556.95,cash,1
930,4578,217,1079.1,credit card,1
931,3319,260,2403.83,check,1
932,1918,14,974.88,credit card,1
933,830,52,2400.53,credit card,3
934,1569,252,1472.94,pear pay,1
935,3131,353,916.83,check,1
936,4521,398,4490.98,debit card,6
937,2393,79,1025,credit card,3
938,3801,216,4272.06,pear pay,4
939,2764,256,1697.9,check,6
940,4553,36,4681.88,cash,3
941,2183,82,2618.98,credit card,4
942,1901,125,521.25,credit card,2
943,2194,186,1282.97,credit card,2
944,4444,389,756.81,credit card,6
945,1027,45,2140.32,credit card,3
946,387,354,2240.29,credit card,3
947,667,327,1620.78,credit card,3
948,1478,228,1204.02,cash,4
949,3136,188,3481.56,pear pay,2
950,2846,185,293.16,cash,2
951,775,345,2772.48,cash,2
952,4954,113,1060.16,pear pay,1
953,2021,112,2924.4,check,3
954,2943,131,323.37,debit card,2
955,1555,365,1867.52,credit card,4
956,3937,142,981.66,cash,5
957,2431,349,3250.52,credit card,3
958,2952,388,2076.76,check,2
959,2105,384,2223,check,4
960,3283,331,1686.41,credit card,3
961,1573,281,1651.54,credit card,1
962,24,355,1086.1,credit card,1
963,624,304,521.91,pear pay,1
964,2786,161,2439.78,check,1
965,3809,98,1296.6,credit card,2
966,2178,127,498.36,cash,2
967,64,30,483.24,credit card,2
968,4794,214,1114.2,cash,1
969,3103,122,3768.31,check,2
970,2500,173,5013.2,credit card,5
971,3752,334,763.68,credit card,1
972,4589,265,1882.16,cash,1
973,1209,213,2116.98,credit card,4
974,2879,272,1067.4,credit card,1
975,1435,345,4652.04,cash,3
976,1020,82,927.84,check,2
977,3956,364,1461.6,credit card,4
978,2327,309,693,check,2
979,4483,267,864.64,cash,1
980,1067,282,3203.8,credit card,4
981,3675,131,2290.31,credit card,2
982,3925,255,707.94,debit card,2
983,2346,75,523.71,credit card,3
984,1008,225,929.2,credit card,1
985,2114,135,1291.18,cash,1
986,3845,128,2175.39,credit card,6
987,4285,10,1872.29,credit card,6
988,3430,68,1458.6,pear pay,2
989,2116,355,2165.1,cash,2
990,1585,378,1121.56,credit card,2
991,4664,372,605.52,pear pay,1
992,4775,4,1125.63,credit card,2
993,2891,304,1366.04,cash,1
994,3235,211,850.71,check,1
995,1529,143,441.78,credit card,1
996,4594,44,496.45,credit card,1
997,1624,236,639.42,credit card,1
998,259,191,705.25,cash,1
999,4716,385,1028.82,cash,2
1000,692,103,745.1,cash,2
1001,2073,13,472.4,cash,1
1002,2941,128,2754.9,credit card,1
1003,1164,309,1592.5,check,2
1004,956,32,1463.88,check,1
1005,2085,257,640.64,check,1
1006,118,117,1413.33,check,3
1007,2718,276,755.95,check,2
1008,3879,41,4930.53,check,2
1009,4522,122,1810.55,cash,2
1010,2351,71,1420,cash,2
1011,4828,283,2147.86,credit card,4
1012,264,80,4368.78,credit card,4
1013,4061,53,3613.83,check,4
1014,3908,248,1483.8,cash,1
1015,2008,192,1011.9,check,2
1016,3496,267,3511.48,credit card,2
1017,4509,171,993.52,check,1
1018,4743,338,871.95,cash,4
1019,384,362,1739.64,cash,2
1020,3263,233,1685.74,credit card,1
1021,2869,155,432.51,credit card,1
1022,4609,9,2323.32,credit card,1
1023,4869,208,2625,credit card,3
1024,26,25,1253.88,credit card,4
1025,342,115,2017.4,cash,4
1026,1261,332,2349.72,cash,7
1027,3482,109,710.5,cash,1
1028,178,203,2054.64,pear pay,4
1029,1086,160,1348.4,pear pay,1
1030,1806,343,807.2,cash,2
1031,2219,140,2334.64,pear pay,3
1032,1622,143,1361.9,check,2
1033,1892,130,1930.24,cash,4
1034,1119,337,495.52,credit card,1
1035,4593,22,5445.72,credit card,3
1036,3388,361,1121.82,debit card,1
1037,4108,237,1080.04,credit card,1
1038,4873,286,4291.42,cash,7
1039,3507,39,1061.88,pear pay,3
1040,1757,280,1969.11,cash,1
1041,4298,68,2407.34,pear pay,1
1042,853,229,1044.7,pear pay,4
1043,2336,57,2671.8,pear pay,3
1044,199,99,2485.98,pear pay,1
1045,3210,365,726.36,cash,2
1046,3087,4,926.2,cash,1
1047,2103,143,1717.92,pear pay,2
1048,4250,246,1532.57,cash,2
1049,3887,232,1366.16,check,4
1050,4866,265,1578.78,credit card,1
1051,590,237,2149.18,credit card,4
1052,996,168,2349.2,credit card,5
1053,3399,156,1152.3,cash,6
1054,2774,137,849.78,check,1
1055,1472,310,3382.44,check,6
1056,699,84,464.96,cash,2
1057,1691,45,388.44,check,2
1058,529,62,1079.4,credit card,2
1059,801,332,2653.7,cash,3
1060,3091,191,1916.2,debit card,2
1061,1651,333,990.32,cash,1
1062,1231,1,1312.11,credit card,4
1063,2441,202,688.45,check,1
1064,2598,296,349.56,debit card,2
1065,2120,319,1321.71,pear pay,1
1066,481,56,949.6,credit card,4
1067,3305,28,916.72,pear pay,1
1068,3286,115,463.68,debit card,1
1069,2778,244,2087.28,check,1
1070,3779,327,2797.83,cash,1
1071,2973,41,3653.13,credit card,4
1072,2673,305,454.52,credit card,3
1073,3791,65,2344.68,credit card,6
1074,2996,357,3787.11,credit card,1
1075,906,94,1024.25,check,6
1076,3721,74,992.09,credit card,1
1077,3683,158,350.1,pear pay,1
1078,39,126,2933.7,cash,3
1079,3367,384,1722.84,credit card,1
1080,3239,329,1325,credit card,4
1081,2442,212,2766.69,check,6
1082,2620,96,1470,debit card,1
1083,974,108,3837.21,cash,2
1084,2191,246,1753.7,check,2
1085,410,65,453.66,credit card,1
1086,3377,242,5422.12,credit card,6
1087,2374,243,446.64,credit card,1
1088,3558,97,3351.15,check,7
1089,4286,146,1483.95,credit card,2
1090,4669,386,3645.4,credit card,1
1091,1204,282,1892.94,debit card,3
1092,3451,90,600.84,credit card,2
1093,3195,174,2749.12,credit card,3
1094,1510,239,1053.6,check,2
1095,3378,32,4126.72,pear pay,1
1096,2294,244,822.6,check,1
1097,2696,175,3272.22,pear pay,1
1098,4884,154,3113.74,check,2
1099,17,48,2120.9,credit card,2
1100,1355,9,860.44,credit card,4
1101,1473,134,1157.4,credit card,1
1102,1420,18,895,credit card,2
1103,4747,129,797.64,check,2
1104,448,355,1579.34,credit card,1
1105,4163,245,1442.95,check,1
1106,45,305,972.1,check,2
1107,2713,345,2763.6,credit card,1
1108,4905,334,464.61,credit card,2
1109,3934,242,1135.5,cash,2
1110,4487,132,2260.72,cash,1
1111,3211,166,2859.85,credit card,5
1112,2597,232,2976.4,check,6
1113,1245,8,2664.35,credit card,1
1114,4245,176,6764.28,credit card,3
1115,1652,374,852.92,cash,2
1116,3525,196,368.61,credit card,1
1117,1289,33,1454.1,cash,4
1118,1843,296,1080.53,credit card,2
1119,3933,139,1851.36,cash,4
1120,396,248,1292.9,credit card,3
1121,4984,171,1597.14,credit card,1
1122,2706,12,1001.77,pear pay,1
1123,1947,123,2389.68,credit card,1
1124,1750,71,518.04,check,2
1125,3882,156,4202.12,debit card,4
1126,1597,80,296.4,pear pay,1
1127,4506,308,893.84,cash,1
1128,3143,124,2788.72,check,2
1129,3294,317,900.25,cash,4
1130,2691,361,2073.96,cash,2
1131,1932,166,448.24,cash,1
1132,4746,396,2472.8,check,4
1133,2760,124,2289.98,cash,3
1134,1369,170,542.24,cash,1
1135,828,4,1008.6,check,1
1136,2933,172,798,check,1
1137,1816,178,888.08,cash,3
1138,3667,257,2338.6,check,4
1139,2630,377,1624.22,pear pay,1
1140,4597,369,1529.36,cash,1
1141,4089,159,1720.51,credit card,1
1142,1090,138,1833.36,credit card,3
1143,2143,202,517.8,check,1
1144,2946,250,2178.41,cash,1
1145,94,214,2225.36,credit card,4
1146,4859,390,1310.12,credit card,3
1147,4658,91,1915.48,credit card,4
1148,1375,397,717.36,credit card,3
1149,3242,65,1360.26,credit card,2
1150,1318,204,3849.3,check,3
1151,3437,340,1412.64,debit card,5
1152,3902,400,1553.36,pear pay,4
1153,1830,151,565.5,credit card,2
1154,3536,173,1152.06,credit card,4
1155,650,260,2068.78,credit card,4
1156,1341,333,1660.48,check,2
1157,4198,144,567.45,credit card,2
1158,2758,235,1101.75,pear pay,4
1159,988,58,838.6,cash,3
1160,2510,245,530.72,credit card,1
1161,1980,103,1599.12,debit card,1
1162,2619,368,774.15,check,3
1163,3727,234,581.63,pear pay,1
1164,3942,116,1255.87,debit card,1
1165,1003,288,1204.14,credit card,4
1166,1650,383,1296.09,credit card,3
1167,2137,271,1282.12,credit card,2
1168,2634,145,569.04,check,1
1169,1906,64,1233.5,credit card,2
1170,3980,189,1628.4,credit card,1
1171,2359,87,2726.52,credit card,2
1172,688,371,347.88,credit card,1
1173,2055,84,424.8,credit card,2
1174,1681,345,1708.96,pear pay,6
1175,633,49,1242.9,credit card,2
1176,2822,74,907.8,credit card,1
1177,1096,18,2908.64,cash,7
1178,2342,72,2524.34,credit card,1
1179,3986,67,1399.5,cash,3
1180,2827,195,1378.74,credit card,1
1181,2303,54,617.04,credit card,1
1182,474,69,382.92,credit card,4
1183,3951,244,882,credit card,1
1184,4662,266,1060.08,check,1
1185,1223,214,1039.6,cash,1
1186,4241,144,755.09,pear pay,2
1187,1279,115,1545.18,credit card,1
1188,197,96,1019.7,cash,2
1189,4347,374,2911.32,check,4
1190,1250,3,1556.94,pear pay,1
1191,1853,103,1368.56,credit card,6
1192,2420,395,1784.75,credit card,1
1193,1448,275,1522.82,credit card,1
1194,2545,150,410.36,check,1
1195,1103,171,2568.7,pear pay,4
1196,2527,374,1896.12,check,1
1197,4476,72,2998.5,cash,1
1198,628,134,1086.64,credit card,3
1199,4103,166,1484.12,cash,2
1200,4908,314,2869.3,credit card,1
1201,877,53,1134,check,1
1202,1018,356,678.36,credit card,2
1203,4676,282,488.28,cash,4
1204,1137,75,1932.75,check,2
1205,249,148,1846.7,cash,1
1206,810,269,933.2,pear pay,1
1207,790,321,1810.49,credit card,2
1208,2281,134,2411.37,credit card,4
1209,3269,97,1139.19,credit card,2
1210,3303,308,597.96,credit card,1
1211,2709,355,996.39,pear pay,2
1212,4029,74,2064,pear pay,4
1213,4529,387,2137.8,pear pay,4
1214,4100,133,1587.32,credit card,1
1215,520,384,3099.04,check,3
1216,750,10,2525.04,pear pay,5
1217,926,130,314.32,credit card,1
1218,3782,356,1969.8,credit card,1
1219,4380,378,2260.7,credit card,5
1220,231,97,1012.86,credit card,2
1221,1511,302,2101.96,credit card,2
1222,3731,160,690.06,cash,1
1223,528,353,1090.05,pear pay,1
1224,2479,391,576.07,cash,1
1225,4331,367,574.08,check,1
1226,1578,2,1345.9,credit card,5
1227,4973,109,5765.32,credit card,8
1228,1665,73,972.62,cash,2
1229,102,307,962.3,credit card,1
1230,3664,34,1204.84,debit card,2
1231,2775,269,588.28,credit card,1
1232,4556,166,445.96,debit card,1
1233,1671,78,5828.9,credit card,7
1234,1221,228,4208.68,credit card,4
1235,4985,187,2848.89,check,2
1236,902,302,1071.84,cash,2
1237,567,44,1806.84,cash,1
1238,1301,17,1756.68,check,2
1239,578,236,3285.52,debit card,3
1240,3843,271,927,check,1
1241,4355,55,2813.07,cash,4
1242,4532,258,2681.9,credit card,4
1243,3002,361,3147.84,debit card,1
1244,2035,195,1112.1,check,1
1245,932,32,2100.2,cash,1
1246,97,278,2470.8,cash,4
1247,2880,151,651.44,check,6
1248,326,370,2234.83,check,2
1249,472,173,574.28,pear pay,2
1250,1310,8,3937.22,check,1
1251,4216,10,5311.44,credit card,1
1252,4510,203,1769.04,debit card,3
1253,734,211,3464.16,credit card,3
1254,1527,138,1311.38,debit card,2
1255,412,138,1289.6,credit card,4
1256,290,144,1279.72,credit card,1
1257,1788,128,1097.72,credit card,3
1258,759,50,1574.4,cash,2
1259,268,191,1052.9,cash,1
1260,245,135,963.72,credit card,2
1261,159,212,838.3,check,1
1262,3072,112,1876.5,pear pay,1
1263,967,238,2366.9,pear pay,4
1264,3086,200,3063.06,credit card,4
1265,1070,205,946.1,cash,2
1266,1526,107,1288.26,check,1
1267,501,195,1642.06,cash,2
1268,1770,30,1909.11,credit card,4
1269,3453,332,2531.06,check,4
1270,4070,182,3717.35,debit card,4
1271,1434,324,2344.65,credit card,4
1272,1143,202,1597.53,credit card,2
1273,2998,296,4051.04,cash,3
1274,2881,21,3660.2,credit card,7
1275,3834,337,2882.52,cash,2
1276,140,358,2103.39,credit card,6
1277,2564,100,1165.5,pear pay,4
1278,1082,224,303.9,check,4
1279,1684,14,1542.95,credit card,6
1280,3123,225,2951.7,check,4
1281,770,294,3459.87,check,2
1282,129,171,1386.2,cash,6
1283,41,200,2476.24,credit card,2
1284,929,275,1675.44,check,1
1285,3090,373,678.5,cash,2
1286,3339,225,780.12,credit card,1
1287,2915,32,1230,cash,4
1288,3321,361,1102.04,credit card,3
1289,4951,271,999.25,check,1
1290,1576,159,2377.83,debit card,1
1291,4082,116,1805.72,check,3
1292,3398,136,909.33,cash,6
1293,2621,260,1274.49,cash,1
1294,4931,55,947.84,cash,3
1295,494,147,619.25,pear pay,1
1296,405,282,620.34,cash,8
1297,2569,349,587.7,credit card,2
1298,4703,186,1931.15,cash,1
1299,1742,384,1243.88,check,2
1300,3458,149,5384.96,credit card,1
1301,1645,274,972.51,credit card,1
1302,1079,13,2052.96,cash,3
1303,1751,381,1124.13,check,1
1304,4643,116,793,debit card,2
1305,3734,309,1820.85,debit card,1
1306,2192,355,545.07,credit card,4
1307,2608,187,1521.63,credit card,1
1308,4733,56,1655.55,pear pay,3
1309,1270,244,1298.04,cash,1
1310,4938,384,2304.12,cash,3
1311,3105,218,752.24,check,1
1312,1541,292,1934.66,check,1
1313,845,33,2195.83,credit card,6
1314,3092,228,739.8,pear pay,3
1315,994,25,3652.74,pear pay,2
1316,824,364,3256.44,cash,2
1317,1941,136,1341.18,check,1
1318,1207,372,1486.68,check,1
1319,1706,321,2632.5,cash,6
1320,1125,329,825.55,debit card,4
1321,1786,41,3730.65,check,4
1322,3022,203,308.97,check,1
1323,612,56,1666.94,check,1
1324,1603,92,741.96,credit card,2
1325,10,364,758.87,credit card,1
1326,1,352,2658.8,cash,1
1327,1450,280,1278.64,credit card,2
1328,4371,12,630.3,credit card,1
1329,674,381,3101.16,check,4
1330,108,155,1991.34,cash,6
1331,3337,299,1795.3,cash,2
1332,3997,59,1370.5,credit card,1
1333,1399,348,2607.54,debit card,2
1334,3233,306,1504.49,credit card,3
1335,3714,44,992.43,cash,2
1336,1631,111,1050.14,debit card,3
1337,4613,220,1124.76,cash,2
1338,767,281,1696.38,debit card,1
1339,653,105,1936,credit card,2
1340,710,193,708.61,credit card,3
1341,4319,129,1242.5,check,1
1342,766,228,2131.85,cash,2
1343,289,74,437.07,credit card,3
1344,3128,386,980.46,debit card,1
1345,2796,262,2838.64,credit card,3
1346,2212,147,231.87,check,1
1347,341,209,2710.08,credit card,1
1348,891,256,3723.58,debit card,1
1349,4677,101,1985,cash,3
1350,3587,294,1935.24,credit card,3
1351,3354,292,426.51,cash,1
1352,745,324,1625.94,cash,2
1353,2412,52,483.95,check,2
1354,2679,154,952.16,check,1
1355,4192,66,5155.36,credit card,4
1356,1189,384,1576.4,credit card,3
1357,1981,200,523.65,credit card,2
1358,3025,329,1342.44,credit card,2
1359,1117,356,3557.28,check,4
1360,3260,87,1535,cash,3
1361,2070,378,3328.56,credit card,6
1362,671,291,5731.96,check,3
1363,1682,123,709.83,credit card,1
1364,2151,59,3001.44,pear pay,1
1365,48,26,1143,cash,1
1366,454,17,1346.31,check,1
1367,2131,153,951.36,cash,3
1368,3255,231,1915.55,cash,1
1369,1025,24,560.4,cash,1
1370,2590,230,3275.46,check,4
1371,524,161,908.91,check,4
1372,1776,56,5121.81,pear pay,1
1373,2436,62,479.12,check,2
1374,2806,27,2432.54,check,3
1375,4635,325,466.7,debit card,1
1376,3150,350,590.12,credit card,1
1377,1913,249,1300.95,cash,2
1378,3112,225,533.22,pear pay,3
1379,4105,364,3251.4,debit card,5
1380,608,109,1154.56,pear pay,1
1381,1789,157,1409.88,cash,1
1382,4101,399,1040.26,check,1
1383,30,61,6816.94,credit card,3
1384,2524,123,3126.31,pear pay,5
1385,479,270,2356.5,cash,3
1386,4933,243,555.5,credit card,2
1387,1234,376,979.15,credit card,4
1388,1063,142,1970.1,check,2
1389,4936,350,1131.48,credit card,2
1390,505,34,1579.82,credit card,1
1391,1129,231,3908.38,check,1
1392,2344,318,2235.94,pear pay,2
1393,3935,323,4602.06,cash,6
1394,931,301,934.48,credit card,1
1395,2703,302,3690.8,cash,3
1396,888,130,490.68,credit card,1
1397,1166,22,1081.08,credit card,2
1398,4685,122,342.2,credit card,1
1399,1811,148,834.65,cash,1
1400,1176,276,4008.36,credit card,4
1401,3528,392,1642.08,check,1
1402,572,37,1012.65,cash,1
1403,4226,398,1937.98,cash,3
1404,1264,257,1000.61,check,1
1405,4827,100,1307.52,check,1
1406,2464,321,761.52,check,1
1407,4145,369,1063.44,credit card,2
1408,4692,46,1008.64,check,5
1409,1677,256,646.1,cash,1
1410,1686,131,2425.8,check,6
1411,1432,127,1522.43,pear pay,2
1412,3913,176,383.5,credit card,1
1413,4041,355,1020.25,credit card,2
1414,4991,321,1509.9,cash,3
1415,1380,253,809.92,credit card,4
1416,1571,22,5665.66,cash,1
1417,1419,270,1687.28,cash,3
1418,3326,173,1110.08,credit card,1
1419,2167,228,1658.6,credit card,3
1420,905,334,1129.31,cash,1
1421,4979,376,1260,cash,3
1422,3250,355,649,check,4
1423,3849,234,1569.49,credit card,1
1424,4269,222,1955.73,check,4
1425,2042,187,2180.75,debit card,3
1426,1495,241,977.3,credit card,1
1427,3749,195,354.48,check,2
1428,685,17,7400.9,cash,7
1429,553,12,2418.84,check,3
1430,1238,324,4245.1,credit card,7
1431,4433,275,1342.11,credit card,3
1432,237,75,3659.04,cash,1
1433,4157,60,3229.45,credit card,3
1434,1779,377,1232.91,credit card,3
1435,2462,50,1288.56,credit card,1
1436,1394,121,631.89,check,1
1437,248,286,361.2,check,2
1438,2502,261,2877.7,credit card,4
1439,3950,261,818.3,cash,1
1440,1258,55,1145.64,check,4
1441,2614,128,1197.63,credit card,1
1442,2723,380,3847.2,cash,4
1443,2041,238,359.8,credit card,2
1444,4085,67,473.46,credit card,1
1445,2544,386,1564,cash,1
1446,973,319,917.77,credit card,1
1447,3954,311,926.25,cash,2
1448,1794,371,956.46,credit card,2
1449,3768,101,803.04,credit card,1
1450,1097,61,425.22,credit card,1
1451,1136,56,1778.55,cash,1
1452,180,40,679.65,credit card,1
1453,3545,159,2572.5,check,1
1454,2400,76,790.96,pear pay,1
1455,4789,387,334.59,cash,2
1456,3347,136,1238.85,pear pay,5
1457,2844,59,1564.48,credit card,4
1458,4,29,1842.62,check,1
1459,953,130,1942.32,cash,2
1460,1441,60,722.8,credit card,2
1461,2106,220,1686.23,check,2
1462,4465,256,1021.44,cash,3
1463,3125,192,930,cash,1
1464,3446,321,851.4,credit card,3
1465,1635,213,2076.06,pear pay,4
1466,3151,140,1417.76,credit card,6
1467,473,362,2555.1,credit card,7
1468,4549,85,3298.3,credit card,3
1469,1879,334,3584.07,check,2
1470,4570,58,2318.68,cash,4
1471,2589,340,2012.75,credit card,2
1472,2172,176,1050.9,credit card,1
1473,196,242,914.55,credit card,2
1474,2002,55,3968.3,credit card,3
1475,1186,284,2428.45,credit card,8
1476,4016,73,450.64,cash,1
1477,2763,393,1132.12,credit card,2
1478,2685,331,343.02,cash,1
1479,2411,155,5052.46,check,7
1480,3669,292,1793.04,cash,6
1481,339,184,1297.6,debit card,4
1482,2195,34,2306.59,credit card,3
1483,2677,389,4490,debit card,3
1484,1406,59,3882,check,3
1485,2326,184,4038.86,cash,3
1486,2707,86,501.06,cash,1
1487,4771,118,361.2,check,1
1488,1518,52,989.87,credit card,4
1489,336,333,439.02,cash,1
1490,109,275,2031.7,cash,5
1491,260,11,310.56,credit card,1
1492,3203,309,320.64,cash,1
1493,2751,144,1568.72,credit card,3
1494,1412,55,2308.24,check,5
1495,592,71,2356.25,credit card,3
1496,2949,23,3420.99,pear pay,2
1497,1342,130,329.52,cash,1
1498,3344,208,982.32,check,1
1499,3385,149,2044.42,check,8
1500,4709,299,1726.27,cash,4
1501,1780,154,1787.24,credit card,2
1502,2104,207,1558.7,credit card,1
1503,1540,275,3281.46,credit card,5
1504,519,96,1558.97,cash,3
1505,3109,281,1328.03,cash,1
1506,3410,37,1063.05,check,4
1507,4694,8,2090.55,cash,4
1508,464,210,762.57,cash,1
1509,3038,94,898.4,credit card,7
1510,3783,13,5685.46,credit card,2
1511,329,288,2829.31,credit card,4
1512,1288,369,2086.28,check,1
1513,3788,360,1324.31,pear pay,1
1514,3762,313,1149.06,check,2
1515,1595,19,810.81,credit card,1
1516,797,242,3668.84,cash,8
1517,2110,350,452.25,check,1
1518,1348,90,824.94,check,2
1519,4790,34,1934.52,credit card,2
1520,3898,264,530.24,credit card,2
1521,4015,116,309.16,credit card,1
1522,1639,264,827.31,cash,4
1523,2379,345,507.35,check,1
1524,1304,107,1110.96,credit card,2
1525,4272,351,3554.65,cash,2
1526,62,348,1270.56,cash,2
1527,1567,205,2361.36,debit card,1
1528,4868,282,2012.23,credit card,3
1529,2209,342,2447.83,cash,5
1530,3657,282,509.52,credit card,2
1531,4551,62,1241.1,pear pay,2
1532,432,104,3549.04,credit card,6
1533,4520,300,2970.08,credit card,2
1534,3794,389,1816.9,pear pay,2
1535,513,100,1615.68,credit card,2
1536,2794,58,3284.9,credit card,3
1537,4682,157,1339.74,check,1
1538,1887,101,1063.4,credit card,2
1539,1225,134,2685.72,credit card,3
1540,4450,271,1596.1,credit card,6
1541,4140,321,464.66,pear pay,1
1542,605,72,1585.9,cash,2
1543,2278,222,1072.44,pear pay,1
1544,59,82,1474.06,pear pay,1
1545,541,196,5127.85,cash,2
1546,1968,253,1648.89,check,1
1547,1333,312,814.72,credit card,4
1548,2675,211,1589.77,cash,2
1549,4139,191,2179.04,credit card,2
1550,907,301,715.56,pear pay,1
1551,3796,200,3112.5,cash,2
1552,4390,96,1362,cash,1
1553,4467,175,1176.45,pear pay,2
1554,2948,18,1418.2,check,4
1555,2054,98,1510.1,cash,3
1556,2127,2,830.8,debit card,1
1557,1610,178,902.4,check,4
1558,144,293,1528.89,cash,1
1559,1797,318,707.72,credit card,4
1560,201,85,378.93,check,1
1561,2455,339,1684,credit card,1
1562,998,64,1904.14,credit card,2
1563,4655,152,391.86,check,4
1564,3432,29,3304.32,check,3
1565,267,240,1678.49,credit card,1
1566,4382,341,1134.64,pear pay,1
1567,2474,108,1210.56,check,1
1568,1731,249,1155.68,pear pay,1
1569,4865,219,1492.47,check,2
1570,3841,111,1597.57,credit card,3
1571,1748,340,1277.6,cash,5
1572,741,327,2253.03,cash,3
1573,1601,65,984.21,credit card,1
1574,3081,188,561.48,cash,1
1575,21,66,1086.6,cash,2
1576,1019,371,1799.58,credit card,1
1577,1702,277,1234.5,credit card,4
1578,1991,275,4660.46,credit card,7
1579,1936,4,3756.76,credit card,1
1580,2847,49,936.3,cash,1
1581,2184,84,468.16,cash,1
1582,3162,215,2024.5,credit card,2
1583,1860,302,1142.72,credit card,1
1584,4686,202,5132.54,pear pay,8
1585,2515,197,2857.12,cash,2
1586,1152,251,4851.84,cash,3
1587,3205,216,1461.12,check,2
1588,2270,329,5625.75,check,1
1589,3707,228,2308.41,credit card,4
1590,4456,151,566.65,pear pay,2
1591,113,182,545.04,cash,2
1592,648,26,414.57,check,1
1593,1649,280,496.85,check,2
1594,4486,155,3150.28,pear pay,4
1595,4156,80,1227.59,credit card,1
1596,4948,367,2294.52,debit card,1
1597,4392,86,445.92,debit card,1
1598,898,33,3546.29,credit card,1
1599,515,133,523.7,pear pay,1
1600,2324,195,532.71,credit card,3
1601,4304,289,254.01,debit card,1
1602,4564,113,476,cash,2
1603,4707,21,368.08,check,2
1604,627,116,1931.44,credit card,2
1605,1353,10,1532.16,cash,2
1606,4961,113,3279.76,credit card,3
1607,1035,123,1747.9,credit card,2
1608,3597,263,2494.1,pear pay,1
1609,4009,45,1192.88,credit card,1
1610,364,148,1582.88,credit card,2
1611,471,191,1983.24,credit card,7
1612,2555,76,1533.76,check,1
1613,3246,303,2039.66,credit card,4
1614,1542,187,655.32,credit card,2
1615,549,41,5271.7,credit card,5
1616,2861,352,1668.52,credit card,1
1617,945,235,359.13,credit card,1
1618,2164,321,1479.36,credit card,6
1619,2175,275,3339.14,debit card,3
